% time	cellId	IMSI	RNTI	rsrp	sinr
0.000214285	1	1	0	6.72185e-11	3.02953
0.000214285	1	2	0	6.72185e-11	3.02953
0.000214285	1	3	0	6.72185e-11	3.02953
0.000214285	1	4	0	6.72185e-11	3.02953
0.000214285	1	5	0	6.72185e-11	3.02953
0.00121429	1	1	0	6.72185e-11	3.02934
0.00121429	1	2	0	6.72185e-11	3.02936
0.00121429	1	3	0	6.72185e-11	3.02938
0.00121429	1	4	0	6.72185e-11	3.0294
0.00121429	1	5	0	6.72185e-11	3.02942
0.00221428	1	1	0	6.72185e-11	3.02916
0.00221428	1	2	0	6.72185e-11	3.02919
0.00221428	1	3	0	6.72185e-11	3.02923
0.00221428	1	4	0	6.72185e-11	3.02927
0.00221428	1	5	0	6.72185e-11	3.02931
0.00321428	1	1	0	6.72185e-11	3.02897
0.00321428	1	2	0	6.72185e-11	3.02903
0.00321428	1	3	0	6.72185e-11	3.02908
0.00321428	1	4	0	6.72185e-11	3.02914
0.00321428	1	5	0	6.72185e-11	3.02919
0.00421428	1	1	0	6.72185e-11	3.02878
0.00421428	1	2	0	6.72185e-11	3.02886
0.00421428	1	3	0	6.72185e-11	3.02893
0.00421428	1	4	0	6.72185e-11	3.02901
0.00421428	1	5	0	6.72185e-11	3.02908
0.00521428	1	1	0	6.72185e-11	3.02859
0.00521428	1	2	0	6.72185e-11	3.02869
0.00521428	1	3	0	6.72185e-11	3.02878
0.00521428	1	4	0	6.72185e-11	3.02887
0.00521428	1	5	0	6.72185e-11	3.02897
0.00621428	1	1	0	6.72185e-11	3.0284
0.00621428	1	2	0	6.72185e-11	3.02852
0.00621428	1	3	0	6.72185e-11	3.02863
0.00621428	1	4	0	6.72185e-11	3.02874
0.00621428	1	5	0	6.72185e-11	3.02886
0.00721428	1	1	0	6.72184e-11	3.02822
0.00721428	1	2	0	6.72185e-11	3.02835
0.00721428	1	3	0	6.72185e-11	3.02848
0.00721428	1	4	0	6.72185e-11	3.02861
0.00721428	1	5	0	6.72185e-11	3.02874
0.00821428	1	1	0	6.72184e-11	3.02803
0.00821428	1	2	0	6.72184e-11	3.02818
0.00821428	1	3	0	6.72185e-11	3.02833
0.00821428	1	4	0	6.72185e-11	3.02848
0.00821428	1	5	0	6.72185e-11	3.02863
0.00921428	1	1	0	6.72184e-11	3.02784
0.00921428	1	2	0	6.72184e-11	3.02801
0.00921428	1	3	0	6.72184e-11	3.02818
0.00921428	1	4	0	6.72185e-11	3.02835
0.00921428	1	5	0	6.72185e-11	3.02852
0.0102143	1	1	0	6.72184e-11	3.02765
0.0102143	1	2	0	6.72184e-11	3.02784
0.0102143	1	3	0	6.72184e-11	3.02803
0.0102143	1	4	0	6.72184e-11	3.02822
